case_group,test_id,test_name,hash_consistent_across_versions,PY-01_status,PY-01_final,PY-01_sha256,PY-02_status,PY-02_final,PY-02_sha256,PY-03_status,PY-03_final,PY-03_sha256,PY-04_status,PY-04_final,PY-04_sha256,PY-05_status,PY-05_final,PY-05_sha256
basic,BASIC-01,None type - None,YES,SUCCESS,STABLE_SUCCESS,8ce86a6ae65d3692e7305e2c58ac62eebd97d3d943e093f577da25c36988246b,SUCCESS,STABLE_SUCCESS,8ce86a6ae65d3692e7305e2c58ac62eebd97d3d943e093f577da25c36988246b,SUCCESS,STABLE_SUCCESS,8ce86a6ae65d3692e7305e2c58ac62eebd97d3d943e093f577da25c36988246b,SUCCESS,STABLE_SUCCESS,8ce86a6ae65d3692e7305e2c58ac62eebd97d3d943e093f577da25c36988246b,SUCCESS,STABLE_SUCCESS,8ce86a6ae65d3692e7305e2c58ac62eebd97d3d943e093f577da25c36988246b
basic,BASIC-02,Boolean type - True,YES,SUCCESS,STABLE_SUCCESS,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,SUCCESS,STABLE_SUCCESS,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,SUCCESS,STABLE_SUCCESS,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,SUCCESS,STABLE_SUCCESS,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,SUCCESS,STABLE_SUCCESS,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3
basic,BASIC-03,Boolean type - False,YES,SUCCESS,STABLE_SUCCESS,f67ab10ad4e4c53121b6a5fe4da9c10ddee905b978d3788d2723d7bfacbe28a9,SUCCESS,STABLE_SUCCESS,f67ab10ad4e4c53121b6a5fe4da9c10ddee905b978d3788d2723d7bfacbe28a9,SUCCESS,STABLE_SUCCESS,f67ab10ad4e4c53121b6a5fe4da9c10ddee905b978d3788d2723d7bfacbe28a9,SUCCESS,STABLE_SUCCESS,f67ab10ad4e4c53121b6a5fe4da9c10ddee905b978d3788d2723d7bfacbe28a9,SUCCESS,STABLE_SUCCESS,f67ab10ad4e4c53121b6a5fe4da9c10ddee905b978d3788d2723d7bfacbe28a9
basic,BASIC-04,Small integer - 0,YES,SUCCESS,STABLE_SUCCESS,e8ebd827d1f36d7cfa5e5220610aa6370284d1589989363f48ac40166362d449,SUCCESS,STABLE_SUCCESS,e8ebd827d1f36d7cfa5e5220610aa6370284d1589989363f48ac40166362d449,SUCCESS,STABLE_SUCCESS,e8ebd827d1f36d7cfa5e5220610aa6370284d1589989363f48ac40166362d449,SUCCESS,STABLE_SUCCESS,e8ebd827d1f36d7cfa5e5220610aa6370284d1589989363f48ac40166362d449,SUCCESS,STABLE_SUCCESS,e8ebd827d1f36d7cfa5e5220610aa6370284d1589989363f48ac40166362d449
basic,BASIC-05,Small integer - 1,YES,SUCCESS,STABLE_SUCCESS,59e562517a08b1f9edb930c1553aaf2e6947c1000705dfa4ed20b03b29363da1,SUCCESS,STABLE_SUCCESS,59e562517a08b1f9edb930c1553aaf2e6947c1000705dfa4ed20b03b29363da1,SUCCESS,STABLE_SUCCESS,59e562517a08b1f9edb930c1553aaf2e6947c1000705dfa4ed20b03b29363da1,SUCCESS,STABLE_SUCCESS,59e562517a08b1f9edb930c1553aaf2e6947c1000705dfa4ed20b03b29363da1,SUCCESS,STABLE_SUCCESS,59e562517a08b1f9edb930c1553aaf2e6947c1000705dfa4ed20b03b29363da1
basic,BASIC-06,Small integer - -1,YES,SUCCESS,STABLE_SUCCESS,72aea108d59af9a3db0854601259c9d9a62dce69f656f4a3f4e451500fb85a1f,SUCCESS,STABLE_SUCCESS,72aea108d59af9a3db0854601259c9d9a62dce69f656f4a3f4e451500fb85a1f,SUCCESS,STABLE_SUCCESS,72aea108d59af9a3db0854601259c9d9a62dce69f656f4a3f4e451500fb85a1f,SUCCESS,STABLE_SUCCESS,72aea108d59af9a3db0854601259c9d9a62dce69f656f4a3f4e451500fb85a1f,SUCCESS,STABLE_SUCCESS,72aea108d59af9a3db0854601259c9d9a62dce69f656f4a3f4e451500fb85a1f
basic,BASIC-07,Large integer - 2**31,YES,SUCCESS,STABLE_SUCCESS,70f286d27bc1e55c830066343a8fe2489d76660e68b3a62cd943ad76d574aa4a,SUCCESS,STABLE_SUCCESS,70f286d27bc1e55c830066343a8fe2489d76660e68b3a62cd943ad76d574aa4a,SUCCESS,STABLE_SUCCESS,70f286d27bc1e55c830066343a8fe2489d76660e68b3a62cd943ad76d574aa4a,SUCCESS,STABLE_SUCCESS,70f286d27bc1e55c830066343a8fe2489d76660e68b3a62cd943ad76d574aa4a,SUCCESS,STABLE_SUCCESS,70f286d27bc1e55c830066343a8fe2489d76660e68b3a62cd943ad76d574aa4a
basic,BASIC-08,Large integer - 2**63,YES,SUCCESS,STABLE_SUCCESS,95d4ad4027f527c14a76f13cf23b94c45272e82a4be8407bbab87cbc83522728,SUCCESS,STABLE_SUCCESS,95d4ad4027f527c14a76f13cf23b94c45272e82a4be8407bbab87cbc83522728,SUCCESS,STABLE_SUCCESS,95d4ad4027f527c14a76f13cf23b94c45272e82a4be8407bbab87cbc83522728,SUCCESS,STABLE_SUCCESS,95d4ad4027f527c14a76f13cf23b94c45272e82a4be8407bbab87cbc83522728,SUCCESS,STABLE_SUCCESS,95d4ad4027f527c14a76f13cf23b94c45272e82a4be8407bbab87cbc83522728
basic,BASIC-09,Large integer - -2**63,YES,SUCCESS,STABLE_SUCCESS,1d14c0165fb31ea4cbd0bb1b47e51ff68e5b351ac4e805209bc25b8a011c9e8a,SUCCESS,STABLE_SUCCESS,1d14c0165fb31ea4cbd0bb1b47e51ff68e5b351ac4e805209bc25b8a011c9e8a,SUCCESS,STABLE_SUCCESS,1d14c0165fb31ea4cbd0bb1b47e51ff68e5b351ac4e805209bc25b8a011c9e8a,SUCCESS,STABLE_SUCCESS,1d14c0165fb31ea4cbd0bb1b47e51ff68e5b351ac4e805209bc25b8a011c9e8a,SUCCESS,STABLE_SUCCESS,1d14c0165fb31ea4cbd0bb1b47e51ff68e5b351ac4e805209bc25b8a011c9e8a
basic,BASIC-10,Very large integer - 2**100,YES,SUCCESS,STABLE_SUCCESS,93133aef5016fb3e75f0e91c81f629b6103091b160d1a763b384818a7d0fca79,SUCCESS,STABLE_SUCCESS,93133aef5016fb3e75f0e91c81f629b6103091b160d1a763b384818a7d0fca79,SUCCESS,STABLE_SUCCESS,93133aef5016fb3e75f0e91c81f629b6103091b160d1a763b384818a7d0fca79,SUCCESS,STABLE_SUCCESS,93133aef5016fb3e75f0e91c81f629b6103091b160d1a763b384818a7d0fca79,SUCCESS,STABLE_SUCCESS,93133aef5016fb3e75f0e91c81f629b6103091b160d1a763b384818a7d0fca79
